"","Pubchem","mmass","model_prediction"
"2",428,74.08439833,0.00716547250747681
"3",58,102.031694058,5.7641064453125
"4",11266,104.047344122,7.41444091796875
"7",13712,228.074621504,7.5210302734375
"8",13711,227.090605919,1.21486012776693
"10",6166,330.219494826,16.0172184244792
"11",6723,183.053157781,2.1306689453125
"12",49,116.047344122,8.2168310546875
"13",127,152.047344122,8.27856526692708
"15",1669,167.094628665,6.52585164388021
"18",111,132.053492132,2.12557393391927
"19",1125,241.117489371,14.776337890625
"24",190,135.054495185,3.33690246582031
"27",252,239.101839307,8.36758056640625
"28",264,88.0524295,7.99943522135417
"29",176,60.021129372,5.48705688476563
"30",247,117.078978601,8.63849934895833
"32",6083,347.063084339,2.05449890136719
"35",222,17.026549101,0.0445829995473226
"36",16950,290.122634328,4.65132609049479
"37",6128,286.193280076,17.50103515625
"39",10712,342.116211546,6.99127685546875
"40",239,89.047678473,0.770084788004557
"41",6076,329.052519653,1.58344767252604
"42",96,102.031694058,6.17970987955729
"46",586,131.069476547,1.1760390218099
"48",5816,183.089543287,1.30013336181641
"49",849,129.078978601,1.42165883382161
"52",681,153.078978601,7.40807291666667
"53",649,114.042927446,8.05086669921875
"57",6176,482.984511771,1.48285308837891
"60",674,45.057849229,0.100542367299398
"61",6175,243.085520541,0.789270528157552
"62",673,103.063328537,0.138762079874674
"63",311,192.02700261,11.7745955403646
"64",6131,323.051850951,1.09094797770182
"65",305,104.107539075,9.019228515625
"68",13730,251.101839307,2.58796956380208
"69",11850,182.07903818,10.7837906901042
"70",702,46.041864814,3.87772908528646
"71",119,103.063328537,1.42007497151693
"73",757,76.016043994,5.52026896158854
"74",1738,182.057908808,9.17191813151042
"75",760,74.00039393,5.79813842773437
"76",6037,441.139681375,9.37219075520833
"77",5793,180.063388116,9.488818359375
"78",750,75.032028409,0.490101114908854
"83",763,117.053826483,2.83016642252604
"84",780,168.042258744,7.20115559895833
"85",753,92.047344122,2.11614440917969
"86",764,151.049409807,5.61524617513021
"87",6802,283.091668551,8.85413248697917
"92",284,46.005479308,4.66671997070312
"94",5870,270.161979948,16.2471028645833
"96",700,61.052763851,0.242036717732747
"97",7027,178.047738052,9.12464436848958
"98",5757,272.177630012,17.575029296875
"99",3469,154.026608673,8.64358968098958
"100",5756,288.172544634,17.664443359375
"102",790,136.03851077,6.53010131835937
"103",6057,181.073893223,1.9210996500651
"104",6140,165.078978601,8.11169270833333
"105",5950,89.047678473,0.539582316080729
"108",6329,31.042199165,-0.000769352118174235
