"","Pubchem","System","mmass","rt","model_prediction"
"1",1,"FEM_orbitrap_plasma",203.115758037,1.46,10.335703125
"2",47,"MTBLS38",130.062994186,9.234793548,10.5459586588542
"3",47,"RIKEN",130.062994186,1.21,10.5459586588542
"4",47,"LIFE_old",130.062994186,1.864616667,10.5459586588542
"5",49,"LIFE_new",116.047344122,1.916766667,8.2168310546875
"6",49,"LIFE_old",116.047344122,1.446416667,8.2168310546875
"7",50,"FEM_long",194.042652674,1.4,9.0519580078125
"8",51,"MTBLS87",146.021523302,12.9,8.79486897786458
"9",51,"MTBLS36",146.021523302,3.043912185,8.79486897786458
"10",51,"FEM_long",146.021523302,2.2,8.79486897786458
"11",51,"FEM_long",146.021523302,2.4,8.79486897786458
"12",58,"MTBLS36",102.031694058,3.05899095,5.7641064453125
"13",58,"MTBLS36",102.031694058,1.684481128,5.7641064453125
"14",70,"MTBLS20",130.062994186,5.7,10.7830769856771
"15",70,"MTBLS38",130.062994186,9.391020212,10.7830769856771
"16",70,"MTBLS36",130.062994186,9.462418341,10.7830769856771
"17",70,"LIFE_old",130.062994186,1.990483333,10.7830769856771
"18",72,"RIKEN",154.026608673,1.14,9.5556005859375
"19",72,"PFR-TK72",154.026608673,2.41,9.5556005859375
"20",72,"INRA_QTOF",154.026608673,7.22,9.5556005859375
"21",72,"FEM_long",154.026608673,13.9,9.5556005859375
"22",72,"FEM_short",154.026608673,7.77,9.5556005859375
"23",72,"Qtof-PFEM",154.026608673,7.22,9.5556005859375
"24",72,"FEM_orbitrap_urine",154.026608673,5.93,9.5556005859375
"25",86,"RIKEN",153.042593095,1.13,8.47953531901042
"26",89,"LIFE_old",224.079706882,1.03485,7.52993977864583
"27",89,"LIFE_new",224.079706882,0.785883333,7.52993977864583
"28",102,"MTBLS20",124.0524295,5.1,6.32046752929687
"29",106,"FEM_long",185.008923505,1.21,1.07177124023438
"30",107,"FEM_orbitrap_plasma",150.068079564,1.77,9.90395670572917
"31",111,"OBSF",132.053492132,0.95,2.12557393391927
"32",111,"OBSF",132.053492132,1.06,2.12557393391927
"33",119,"LIFE_new",103.063328537,0.491183333,1.42007497151693
"34",119,"Cao_HILIC",103.063328537,11.55,1.42007497151693
"35",119,"RIKEN",103.063328537,0.17,1.42007497151693
"36",119,"FEM_long",103.063328537,2.15,1.42007497151693
"37",126,"MTBLS38",122.036779436,9.401414733,9.42379557291667
"38",126,"LIFE_new",122.036779436,3.304133333,9.42379557291667
"39",126,"LIFE_old",122.036779436,1.912683333,9.42379557291667
"40",127,"Qtof-PFEM",152.047344122,9.31,8.27856526692708
"41",127,"INRA_QTOF",152.047344122,9.32,8.27856526692708
"42",134,"MTBLS87",146.118103761,10.9,10.8227457682292
"43",135,"FEM_orbitrap_urine",138.031694053,5.2,8.67650227864583
"44",135,"FEM_short",138.031694053,10.6,8.67650227864583
"45",135,"RIKEN",138.031694053,1.25,8.67650227864583
"46",135,"FEM_long",138.031694053,17.48,8.67650227864583
"47",137,"RIKEN",131.058243159,0.18,1.66354532877604
"48",138,"RIKEN",117.078978601,0.23,1.98098754882812
"49",138,"Cao_HILIC",117.078978601,10.72,1.98098754882812
"50",157,"FEM_long",194.042652674,1.44,9.0223974609375
"51",157,"FEM_long",194.042652674,1.42,9.0223974609375
"52",170,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",314.112738344,2.447066667,9.03969563802083
"53",178,"Cao_HILIC",59.037113787,2.38,0.907670593261719
"54",187,"RIKEN",146.118103761,0.24,10.9614957682292
"55",190,"OBSF",135.054495185,0.78,3.33690246582031
"56",190,"LIFE_old",135.054495185,0.684983333,3.33690246582031
"57",190,"IPB_Halle",135.054495185,0.525266667,3.33690246582031
"58",190,"MTBLS87",135.054495185,6.6,3.33690246582031
"59",190,"RIKEN",135.054495185,0.32,3.33690246582031
"60",190,"Cao_HILIC",135.054495185,8.22,3.33690246582031
"61",190,"LIFE_new",135.054495185,0.538416667,3.33690246582031
"62",190,"FEM_long",135.054495185,2.33,3.33690246582031
"63",196,"IPB_Halle",146.057908808,2.327,9.51234456380208
"64",196,"LIFE_old",146.057908808,1.498283333,9.51234456380208
"65",196,"LIFE_new",146.057908808,2.329066667,9.51234456380208
"66",196,"FEM_long",146.057908808,15.5,9.51234456380208
"67",199,"RIKEN",130.121846468,0.15,1.02039794921875
"68",199,"FEM_long",130.121846468,1.185,1.02039794921875
"69",199,"FEM_long",130.121846468,1.03,1.02039794921875
"70",203,"LIFE_new",176.054554764,0.4909,5.06665486653646
"71",204,"MTBLS38",158.043990078,1.627090811,6.50603474934896
"72",204,"OBSF",158.043990078,0.76,6.50603474934896
"73",204,"MTBLS36",158.043990078,1.755062178,6.50603474934896
"74",206,"MTBLS20",180.063388116,0.9,9.488818359375
"75",206,"FEM_long",180.063388116,1.34875,9.488818359375
"76",227,"FEM_long",137.047678473,19.095,9.55864908854167
"77",227,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",137.047678473,1.673583333,9.55864908854167
"78",227,"RIKEN",137.047678473,1.39,9.55864908854167
"79",239,"RIKEN",89.047678473,0.16,0.770084788004557
"80",243,"FEM_long",122.036779433,26.2,10.0714127604167
"81",243,"FEM_orbitrap_plasma",122.036779433,1.47,10.0714127604167
"82",247,"FEM_long",117.078978601,1.375,8.63849934895833
"83",247,"OBSF",117.078978601,0.68,8.63849934895833
"84",247,"FEM_short",117.078978601,1.340862069,8.63849934895833
"85",247,"MTBLS36",117.078978601,1.572693092,8.63849934895833
"86",247,"MTBLS38",117.078978601,1.54743441,8.63849934895833
"87",247,"OBSF",117.078978601,0.69,8.63849934895833
"88",247,"RIKEN",117.078978601,0.17,8.63849934895833
"89",247,"MTBLS87",117.078978601,8.6,8.63849934895833
"90",249,"RIKEN",102.091889011,0.16,10.1677351888021
"91",273,"FEM_long",102.115698458,1.1,1.50268442789714
"92",273,"RIKEN",102.115698458,0.14,1.50268442789714
"93",273,"FEM_orbitrap_plasma",102.115698458,0.88,1.50268442789714
"94",289,"FEM_orbitrap_urine",110.036779436,4.4,6.59255818684896
