pubchem,rt
191,92.7
253,633.5
298,735.1
409,89.6
471,687.4
932,783.7
1204,613.2
1207,670.5
1212,111.2
1215,636.5
1218,617.8
1219,640.3
1222,116.6
1225,666.1
1228,627.2
1232,620.6
1238,871.9
1240,767.8
1241,651.6
1242,584.7
1243,690.9
1340,583.6
1342,689.9
1345,1112.7
1346,627.3
1348,789.6
1359,633.3
1367,651.0
1370,722.0
1374,77.3
1433,81.1
1456,822.5
1532,88.7
1551,632.8
1645,86.2
1683,669.3
1687,861.9
1694,1005.2
1697,1042.3
1701,653.1
1720,657.4
1734,0.3
1742,116.2
1748,86.8
1774,487.4
1793,661.3
1794,757.8
1795,779.1
1797,995.7
1809,91.2
1810,94.9
1820,790.6
1853,806.2
1858,753.9
1868,365.0
1880,719.7
1893,766.6
1960,700.8
1981,957.7
2002,605.4
2018,620.1
2049,1016.8
2051,749.7
2052,840.7
2063,985.5
2064,679.8
2071,115.5
2081,757.4
2099,651.9
2112,572.7
2119,706.1
2129,714.6
2137,1012.5
2143,751.6
2159,590.7
2161,890.6
2182,667.3
2194,1090.8
2198,586.1
2215,606.5
2218,753.6
2229,109.1
2277,79.7
2324,843.6
2325,814.6
2326,852.1
2344,783.7
2375,992.0
2378,906.4
2400,867.5
2419,732.8
2438,94.2
2442,831.9
2446,644.6
2455,757.5
2467,666.1
2480,738.4
2536,651.4
2545,812.8
2562,810.0
2618,641.0
2628,628.6
2684,619.1
2685,709.9
2687,603.1
2688,986.7
2689,768.2
2690,754.7
2717,759.3
2722,1024.5
2743,807.8
2746,628.9
2747,731.6
2753,840.3
2754,880.0
2755,563.0
2782,750.3
2790,95.0
2800,1008.2
2805,850.1
2814,814.6
2866,672.8
2878,89.9
2889,890.7
2890,838.6
2907,724.5
2948,966.9
2972,127.2
3103,759.8
3106,601.9
3136,878.3
3152,690.0
3153,91.5
3166,882.1
3191,1186.7
3241,706.6
3242,711.3
3277,1010.1
3279,80.0
3290,813.3
3316,1043.9
3344,579.0
3374,806.4
3396,892.1
3404,733.9
3421,112.3
3437,592.4
3447,750.3
3449,94.2
3455,956.6
3456,874.1
3505,687.8
3510,639.5
3540,88.7
3590,95.0
3603,865.3
3616,603.7
3619,853.9
3623,794.5
3627,795.7
3634,646.3
3646,598.2
3661,638.0
3671,1010.5
3678,874.1
3683,769.6
3689,717.8
3718,828.1
3729,745.6
3752,713.6
3760,929.1
3783,685.5
3792,637.5
3797,858.6
3851,982.1
