"","Name","System","RT","Pubchem"
"1","trilobatin","FEM_long",31.32,73830082
"2","quercetin 3,4'-diglucoside","FEM_long",26.07,22630387
"3","quercetin 3-glucuronide","FEM_long",28.45,12004528
"4","procyanidin-A2","FEM_long",25.2,5089889
"5","rhamnetin","FEM_long",38.9,5281691
"6","rhamnose","FEM_long",1.575,840
"7","riboflavin","FEM_long",23.9,1072
"8","rosmarinic acid","FEM_long",29.975,5099
"9","sakuranetin","FEM_long",38.985,348130
"10","salicylic acid","FEM_long",26.4,338
"11","sclareol","FEM_long",50.1,521332
"12","scopoletin","FEM_long",24.58,5280460
"13","serotonin","FEM_long",11.1,5202
"14","shikimic acid","FEM_long",2.29,1094
"15","sinapic acid","FEM_long",25.9,10743
"16","sinapyl alcohol","FEM_long",23.6,439703
"17","sinensetin","FEM_long",39.3,145659
"18","sophorose ","FEM_long",1.64,3266408
"19","sorbic acid","FEM_long",25.0607,5251
"20","spermine","FEM_long",0.98,1103
"21","stachyose","FEM_long",2.4,4287569
"22","succinic acid","FEM_long",4.975,1110
"23","sucrose","FEM_long",1.9,1115
"24","syringaldazine","FEM_long",35.49,84422
"25","syringaldehyde","FEM_long",23.5,8655
"26","syringetin","FEM_long",37.4,5281953
"27","syringetin-3-galactoside","FEM_long",31.5675,14524434
"28","taurocholic acid","FEM_long",42.3,5247
"29","tert-butylhydroquinone","FEM_long",30.5,16043
"30","theobromine","FEM_long",15.3,5429
"31","theophylline","FEM_long",17.8,2153
"32","thiamine","FEM_long",1.6,NA
"33","threonic acid","FEM_long",1.45,439535
"34","trans-terpin","FEM_long",27.9,6651
"35","trigonelline","FEM_long",1.67,5570
"36","trypthophol","FEM_long",26.215,10685
"37","tyramine","FEM_long",6.2,5610
"38","tyrosol","FEM_long",17.5,10393
"39","umbelliferone","FEM_long",23.9,5281426
"40","uracil","FEM_long",2.975,1174
"41","uric acid","FEM_long",1.62,1175
"42","uridine","FEM_long",7.005,1177
"43","ursolic acid","FEM_long",53.6,220774
"44","vanillic acid","FEM_long",20.3,8468
"45","vanillin","FEM_long",21.505,1183
"46","vitamin K1","FEM_long",57.7,4812
"47","xanthine","FEM_long",6.015,1188
"48","xylose","FEM_long",1.4,229
"49","Î±-threitol","FEM_long",1.41,8998
"50","3,4 dihydroxybenzaldehyde","FEM_long",16.2,8768
"51","cis-acotinic acid","FEM_long",4.4,309
"52","glycolic acid","FEM_long",2.3,757
"53","glyoxylic acid","FEM_long",1.3,760
"54","lignoceric acid","FEM_long",60.2,11197
"55","oxalic acid","FEM_long",1.3,971
"56","Phenyl Î_-D-glucopyranoside","FEM_long",16.4,313297
"57","Sodium Taurodeoxycholate","FEM_long",45.6,14445
"58","epicatechin","FEM_short",12.07,1203
"59","epicatechin gallate","FEM_short",15.99,367141
"60","gallocatechin","FEM_short",8.675,1249
"61","3,5-dihydroxybenzoic acid","FEM_short",7.75,7424
"62","4-hydroxybenzoic acid","FEM_short",10.6,135
"63","astringin","FEM_short",14.2,5089891
"64","caftaric acid","FEM_short",8.53,53398694
"65","cis-piceid","FEM_short",18.42,393787
"66","cis-resveratrol","FEM_short",20.37,5056
"67","ellagic acid","FEM_short",20.34,5281855
"68","epiafzelechin","FEM_short",15.55,282014
"69","esculetin","FEM_short",12.19,5281416
"70","fertaric acid","FEM_short",11.84,69501207
"71","fraxin","FEM_short",12.6,5909448
"72","hesperetin","FEM_short",21.13,3593
"73","isorhamnetin 3-glucoside","FEM_short",20.53,13245586
"74","isorhamnetin 3-rutinoside","FEM_short",20.59,6223069
"75","isorhapontin","FEM_short",17.61,5090283
"76","kaempferol 3-glucoside","FEM_short",20.285,5462193
"77","kaempferol 3-rutinoside","FEM_short",20.49,12313332
"78","luteolin 7-glucoside","FEM_short",19.73,5291488
"79","methyl gallate","FEM_short",10.73,7428
"80","myricetin","FEM_short",20.46,5281672
"81","naringenin","FEM_short",21.04,932
"82","epicatechin","FEM_long",20.465,1203
